year,region,journeys_total,journeys_within,journeys_interregional,series_break
2006,West Midlands,37024051,19733162,17290889,FALSE
2007,West Midlands,39935889,21082611,18853278,FALSE
2008,West Midlands,42290006,22186914,20103092,FALSE
2009,West Midlands,59419654,38308625,21111029,TRUE
2010,West Midlands,61421935,38993364,22428571,FALSE
2011,West Midlands,63975961,40170164,23805797,FALSE
2012,West Midlands,72246866,47138752,25108114,TRUE
2013,West Midlands,74051095,47909323,26141772,FALSE
2014,West Midlands,78216085,51051929,27164156,FALSE
2015,West Midlands,80562727,51863927,28698800,FALSE
2016,West Midlands,86800598,56358200,30442398,FALSE
2017,West Midlands,91457259,59139607,32317652,FALSE
2018,West Midlands,95073488,61641146,33432342,FALSE
2019,West Midlands,100958964,66362602,34596362,FALSE
2020,West Midlands,99445323,65457631,33987692,FALSE
2021,West Midlands,18170238,12743250,5426988,FALSE
2022,West Midlands,54033273,33820949,20212324,FALSE
2023,West Midlands,68769178,43038622,25730556,TRUE
2024,West Midlands,76772754,47968178,28804576,FALSE
2025,West Midlands,85088786,53091422,31997364,FALSE
1996,Yorkshire and the Humber,25134092,14627031,10507061,FALSE
1997,Yorkshire and the Humber,27339038,16193888,11145150,FALSE
1998,Yorkshire and the Humber,29939451,17830076,12109375,FALSE
1999,Yorkshire and the Humber,31749610,18938205,12811405,FALSE
2000,Yorkshire and the Humber,33948117,20294513,13653604,FALSE
2001,Yorkshire and the Humber,32347478,19183510,13163968,FALSE
2002,Yorkshire and the Humber,32048342,18170150,13878192,FALSE
2003,Yorkshire and the Humber,33151226,18734330,14416896,FALSE
2004,Yorkshire and the Humber,37743517,21830986,15912531,FALSE
2005,Yorkshire and the Humber,40695061,24037000,16658061,FALSE
2006,Yorkshire and the Humber,43098723,25553966,17544757,FALSE
2007,Yorkshire and the Humber,45054195,26500255,18553940,FALSE
2008,Yorkshire and the Humber,46872718,27389701,19483017,FALSE
2009,Yorkshire and the Humber,55808593,35222675,20585918,TRUE
2010,Yorkshire and the Humber,55895631,35100331,20795300,FALSE
2011,Yorkshire and the Humber,60817433,38801539,22015894,FALSE
2012,Yorkshire and the Humber,62991144,39912828,23078316,FALSE
2013,Yorkshire and the Humber,64257249,40854297,23402952,FALSE
2014,Yorkshire and the Humber,66050651,41682981,24367670,FALSE
2015,Yorkshire and the Humber,69251686,43476652,25775034,FALSE
2016,Yorkshire and the Humber,70818096,44025374,26792722,FALSE
2017,Yorkshire and the Humber,73286426,45311834,27974592,FALSE
2018,Yorkshire and the Humber,73811690,44882806,28928884,FALSE
2019,Yorkshire and the Humber,73385081,44021395,29363686,FALSE
2020,Yorkshire and the Humber,73783572,44527000,29256572,FALSE
2021,Yorkshire and the Humber,15282453,10394909,4887544,FALSE
2022,Yorkshire and the Humber,51452341,30582447,20869894,FALSE
2023,Yorkshire and the Humber,60353386,34655942,25697444,TRUE
2024,Yorkshire and the Humber,64592148,36768724,27823424,FALSE
2025,Yorkshire and the Humber,72022434,40787378,31235056,FALSE
